Run,       ReleaseDate, bases,     download_path,     LibrarySelection, Sex, CenterName,
SRR7881642, 2019-10-14, 1802792880, L7-M-Ab_S51_L006, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881620, 2019-10-14, 1806211008, L7-M-Ab_S51_L007, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881641, 2019-10-14, 1908886644, L8-M-Ab_S59_L006, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881588, 2019-10-14, 1916013960, L8-M-Ab_S59_L007, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881634, 2019-10-14, 6144953976, L5-M-Th_S36_L004, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881648, 2019-10-14, 6177191832, L5-M-Th_S36_L005, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881633, 2019-10-14, 2293043256, L6-M-Th_S44_L004, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881647, 2019-10-14, 2311925616, L6-M-Th_S44_L005, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881631, 2019-10-14, 4151348712, L7-M-Th_S52_L006, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881646, 2019-10-14, 4166720712, L7-M-Th_S52_L007, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881592, 2019-10-14, 1912470588, L8-M-Th_S60_L006, PAIRED,        male,   UPPSALA UNIVERSITY
SRR7881617, 2019-10-14, 1917358632, L8-M-Th_S60_L007, PAIRED,        male,   UPPSALA UNIVERSITY
